City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Dingle,PH,2022-10-09 12:07:39,10.9995,122.6711,77.81,87,81,5.5
177,Ballina,AU,2022-10-09 12:07:39,-28.8667,153.5667,63.01,99,100,14.16
178,Hays,US,2022-10-09 12:07:39,30.0502,-98.0336,67.28,73,4,1.99
179,Lagos,NG,2022-10-09 12:06:33,6.5833,3.75,75.6,90,100,0.96
180,Beringovskiy,RU,2022-10-09 12:07:40,63.05,179.3167,30.43,48,10,5.66
181,Richards Bay,ZA,2022-10-09 12:07:40,-28.783,32.0377,80.78,62,4,12.59
182,Fort Pierce,US,2022-10-09 12:07:40,27.4467,-80.3256,80.65,86,100,8.99
183,Akyab,MM,2022-10-09 12:07:41,20.15,92.9,82.65,77,11,7.61
184,Sorland,NO,2022-10-09 12:07:41,67.667,12.6934,46.26,83,96,17.72
185,Nanortalik,GL,2022-10-09 12:08:41,60.1432,-45.2371,35.37,68,100,5.77
186,Bachaquero,VE,2022-10-09 12:08:42,9.9694,-71.1494,75.72,94,100,1.39
187,Bilma,NE,2022-10-09 12:08:42,18.6853,12.9164,94.82,13,43,3.85
188,Sens,FR,2022-10-09 12:08:42,48.1667,3.3333,62.37,46,4,9.37
189,Vestmannaeyjar,IS,2022-10-09 12:08:43,63.4427,-20.2734,38.39,87,75,26.46
190,Butaritari,KI,2022-10-09 12:08:43,3.0707,172.7902,81.73,76,74,13.85
191,Chemal,RU,2022-10-09 12:08:43,51.4111,86.005,61.25,34,49,13.58
192,Birjand,IR,2022-10-09 12:08:44,32.8663,59.2211,75.13,4,0,6.02
193,San Agustin,MX,2022-10-09 12:08:44,20.5333,-103.4667,59.52,82,0,3.44
194,Samarai,PG,2022-10-09 12:08:45,-10.6167,150.6667,81.5,81,100,9.75
195,Denpasar,ID,2022-10-09 12:08:45,-8.65,115.2167,82.06,94,40,6.91
196,Umm Kaddadah,SD,2022-10-09 12:08:45,13.6017,26.6876,93.11,15,98,11.07
197,Quelimane,MZ,2022-10-09 12:08:46,-17.8786,36.8883,89.55,51,20,9.22
198,Tuatapere,NZ,2022-10-09 12:08:46,-46.1333,167.6833,54.18,74,100,9.71
199,Ipixuna,BR,2022-10-09 12:08:46,-1.7625,-48.8043,85.71,61,9,5.97
200,Great Falls,US,2022-10-09 12:03:57,47.5002,-111.3008,50.68,90,0,8.05
201,Muros,ES,2022-10-09 12:08:47,42.7762,-9.0603,67.08,77,100,6.17
202,Wagar,SD,2022-10-09 12:08:47,16.1525,36.2032,96.82,26,6,5.55
203,Katsuura,JP,2022-10-09 12:08:47,35.1333,140.3,66.31,84,100,14.5
204,Altay,CN,2022-10-09 12:08:48,47.8667,88.1167,47.95,29,3,3.67
205,Ponta Do Sol,PT,2022-10-09 12:08:49,32.6667,-17.1,78.71,61,99,2.75
206,Mayumba,GA,2022-10-09 12:08:49,-3.432,10.6554,81.34,74,44,7.23
207,Byron Bay,AU,2022-10-09 12:08:49,-28.65,153.6167,62.94,86,100,14.12
208,Antofagasta,CL,2022-10-09 12:08:50,-23.65,-70.4,58.28,75,47,3.2
209,Meulaboh,ID,2022-10-09 12:08:50,4.1363,96.1285,79.47,80,100,4.16
210,Bengkulu,ID,2022-10-09 12:08:50,-3.8004,102.2655,76.14,89,69,7.92
211,Severo-Kurilsk,RU,2022-10-09 12:08:51,50.6789,156.125,41.99,65,85,13.04
212,Kodinar,IN,2022-10-09 12:08:51,20.7903,70.7031,83.82,73,26,9.04
213,Praia Da Vitoria,PT,2022-10-09 12:08:51,38.7333,-27.0667,76.75,84,30,11.05
214,Yuncheng,CN,2022-10-09 12:08:52,35.0231,110.9928,49.77,32,63,7.67
215,Vagay,RU,2022-10-09 12:08:52,57.9375,69.0217,48.9,59,19,6.35
216,Taltal,CL,2022-10-09 12:08:53,-25.4,-70.4833,58.8,77,41,3.22
217,Danshui,CN,2022-10-09 12:08:53,22.7984,114.4672,74.97,54,14,17.49
218,Puerto Ayora,EC,2022-10-09 12:08:54,-0.7393,-90.3518,65.55,89,100,1.01
219,Chabahar,IR,2022-10-09 12:08:54,25.2919,60.643,84.72,53,0,11.27
220,Grass Valley,US,2022-10-09 12:08:54,39.2191,-121.0611,69.21,41,0,4.0
221,Havelock,US,2022-10-09 12:08:32,34.8791,-76.9013,58.95,91,0,5.77
222,Channel-Port Aux Basques,CA,2022-10-09 12:08:55,47.5702,-59.1367,48.78,65,6,9.75
223,Xiongzhou,CN,2022-10-09 12:08:55,25.1167,114.3,64.89,69,99,9.01
224,Novikovo,RU,2022-10-09 12:08:56,51.1537,37.8879,64.02,52,42,8.95
